แพ็คเกจ	รหัสหลักสูตร	ชื่อหลักสูตร
Good Governance and Corporate Social Responsibility	252CMGT01S00	กิจกรรมสัมมนาเชิงปฏิบัติการเพื่อเพิ่มศักยภาพชมรม NT STRONG สำหรับคณะกรรมการบริหารชมรม  NT STRONG ส่วนกลางและส่วนภูมิภาค
Digital	250FSEC02C00	การอบรมเชิงปฏิบัติการหลักสูตร การตั้งค่า Firewall เพื่อสนับสนุนการให้บริการ Cybersecurity (Cybersecurity Configuration Workshop Mastery)
การบริหารและจัดการ	255NMGT04C00	How to Develop a Risk Management Plan (HRP)
Good Governance and Corporate Social Responsibility	252CMGT02S00	กิจกรรมสัมมนาเชิงปฏิบัติการเพื่อเพิ่มศักยภาพชมรม NT STRONG ผู้ปฏิบัติงาน บมจ.โทรคมนาคมแห่งชาติในพื้นที่ ภาคตะวันออกเฉียงเหนือ
Mobile /Wireless	250FSEL02E00	5G Private Network
Digital	250CDGT02C00	Enhancing Audit Excellence with GenAI"
Finance	250FAFS02C00	การบริหารและวางแผนภาษี
Digital	250FCOM01C00	เตรียมความพร้อมพนักงานทั่วไปเพื่อรองรับเทคโนโลยี Data Analytics และ AI 
Marketing & Effective Communication 	250FSEL01C00	Change Vision to Action : เปลี่ยนวิสัยทัศน์สู่การปฏิบัติเพื่อสร้างรายได้อย่างยั่งยืน
Digital	250FDGT04V00	วิทยาศาสตร์ข้อมูลและการวิเคราะห์ข้อมูล
Digital	250CDGT01S00	กิจกรรม AI*dea Pitching Day : โครงการประกวดการพัฒนา Gen AI เพื่อเพิ่มประสิทธิภาพการทำงาน ในกระบวนการต่างๆ ขององค์กร AI*dea 2025
Network	253NTRX02C00	การใช้งานอุปกรณ์ Carrier Monitoring
Essential Skills & Mindset	250LMGT02C00	การคิดเชิงกลยุทธ์
Marketing & Effective Communication 	250CSEL01C00	กลยุทธ์การขายและการให้บริการกลุ่ม Datacom สำหรับองค์กรยุคดิจิทัล
คุณภาพ มาตรฐาน และความปลอดภัย	255NSAF01C00	ผู้บริหารหน่วยงานความปลอดภัย (42 ชั่วโมง) (Safety Unit Manager Course)
การบริหารและจัดการ	255NMGT05C00	Leadership Succession Program (LSP)
Risk, Policy , Law and Compliance	250FSAF02C00	การดับเพลิงขั้นต้น ประจำปี 2568
การบริหารและจัดการ	255NMGT07C00	ผู้นำการปฏิบัติ (Lead Implementer)
กฎหมาย	255NLAW03C00	กฎหมายและคดีความรับผิดทางละเมิด ด้านการจัดซื้อจัดจ้าง และการบริหารพัสดุภาครัฐ
Marketing & Effective Communication 	250FMGT03C00	CUSTOMER EXPERIENCE JOURNEY
การบริหารและจัดการ	255NMGT08C00	Chief People Officer Program : CPO
การบริหารและจัดการ	255NMGT10C00	ผู้นำการเปลี่ยนแปลงภาครัฐ (GTX – Government Transformation Xponential)
กฎหมาย	255NLAW02C00	ประกาศนียบัตรชั้นสูงการบริหารงานภาครัฐและกฎหมายมหาชน (ปรม.)
การบริหารและจัดการ	250NMGT02C00	ISO/IEC 27001:2022 Lead Auditor
Digital	250FDEV02C00	DevOps พร้อมการใช้งาน Jira เพื่อบริหารโครงการพัฒนาซอฟแวร์
Marketing & Effective Communication 	250FMKT01C00	NT CUSTUMER SERVICE I
Marketing & Effective Communication 	250CMKT01C00	NT CONTACT CENTER OPERATIONS - SERVICE PROCESS IMPROVEMENT II
Infrastructure (Energy&Power)	250FPOW01C00	ระบบ Solar Cell  เบื้องต้นและการบำรุงรักษา
Risk, Policy , Law and Compliance	250FMGT06C00	การบริหารความเสี่ยงและการควบคุมภายใน (Enterprise Risk Management - ERM)
Digital	250FDGT03C00	Fine tuning LLM and Agentic AI using MCP Server and Claude
Network	255NNET01C00	การสอบ Certificate ประเภท Cisco Certified Network Professional : CCNP
การบริหารและจัดการ	255NMGT06C00	Director Certification Program : DCP
การกำลังและพลังงาน	253NTRX01C00	ระบบไฟฟ้าภายในอาคาร
การบริหารและจัดการ	255NMGT09D00	Enabling Masterclass 2025
Essential Skills & Mindset	250FSAF03C00	เพิ่มทักษะความรู้ ความเข้าใจ ด้านความปลอดภัย ในการทำงาน สำหรับพนักงานกลุ่มเสี่ยง
Broadband	250FITS02C00	เพิ่มทักษะความรู้ ความเข้าใจ ในการติดตั้งและตรวจแก้บริการ Virtual PBX
Essential Skills & Mindset	250FSEL03C00	นักประเมินอสังหาริมทรัพย์เพื่อการเช่า
การบริหารและจัดการ	255NAFS02C00	การตรวจสอบ/หลักปฏิบัติราชการที่ดีในการจัดซื้อจัดจ้าง/การบริหารพัสดุภาครัฐ
Essential Skills & Mindset	250FMGT01C00	พัฒนาบุคลิกภาพในการทำงาน การขายและการให้บริการ
การบริหารและจัดการ	255NMGT15C00	TQA Criteria
การบัญชี  การเงิน  ภาษี	255NAFS01C00	นักบริหารการงบประมาณระดับกลาง (นงก.)
การบริหารและจัดการ	255NMGT12C00	ผู้นำแห่งการเปลี่ยนแปลง (ป.ย.ป.)
Digital	250CMKT03C00	NT Youth Club ภายใต้โครงการเพาะพันธุ์ดี NT Youth Club ประจําปี 2568
Risk, Policy , Law and Compliance	252FLAW01S00	สัมมนาเชิงปฏิบัติการทักษะในการปฏิบัติงานตามขั้นตอนของระเบียบคำสั่งและกฎหมายที่เกี่ยวข้องกรณีทรัพย์สินของบริษัทและบุคคลภายนอกได้รับความเสียหาย
การกำลังและพลังงาน	253NEGY01C00	อุปกรณ์ UPS ขนาด 200KVA รวมทั้ง Battery และ Battery Monitoring พร้อมติดตั้ง
Digital	250FDEV01C00	การใช้งาน Python ทางด้าน Data Analytics 
Infrastructure (Energy&Power)	250FEGY01W00	การอบรมเชิงปฏิบัติการ Carbon Footprint Organization (CFO)
คุณภาพ มาตรฐาน และความปลอดภัย	255NOSP02C00	การปฏิบัติงานบนเสาไฟฟ้าของ กฟน. ปี 2568 สำหรับ บุคคลภายนอก (ผู้ปฏิบัติงานติดตั้งสายสื่อสาร :  บัตรอนุญาตใหม่)
Infrastructure (Network)	250FSAF01V00	Operational Safety
คุณภาพ มาตรฐาน และความปลอดภัย	255NSEC03C00	DPO in Action รุ่นที่ 22 เจ้าหน้าที่คุ้มครองข้อมูลส่วนบุคคลภาคปฏิบัติ
การกำลังและพลังงาน	255NEGY01C00	โครงการพัฒนาบุคลากรด้านการประยุกต์ใช้เทคโนโลยีพลังงานทดแทน
Digital	250FDGT05C00	เสริมความรู้ Fortinet Certified Professional in Network Security
Marketing & Effective Communication 	250FMGT07C00	Growth Hacking Marketing Strategy : A Jump to Success
การบัญชี  การเงิน  ภาษี	255NAFS03C00	Bond Mathematics : Essential Concept & Tools
Human Resource Management /Human Resource Development	250CHRX01C00	การสัมมนาเชิงปฏิบัติการ From Good HR To Great HRBP
การบริหารและจัดการ	255NMGT11C00	Future - Ready Leadership : AI & People Transformation 
Project Management	250FMGT10C00	การเขียนแผนที่ความรู้ การคัดเลือกและตรวจสอบหัวข้อความรู้ (Knowledge Mapping and Knowledge Audit)
Digital	250CDGT03E00	NT Digital Literacy เพื่อการทำงานในยุคดิจิทัล
การบัญชี  การเงิน  ภาษี	255NTAX01C00	ประกาศนียบัตรผู้ตรวจสอบภายใน ภาครัฐ (Certified Government Internal Auditor - CGIA) ระดับ 2 การตรวจสอบระบบสารสนเทศ (Information Technology Audit Specialist)
คุณภาพ มาตรฐาน และความปลอดภัย	255NSEC04C00	Cyber War Game ฝึกกลยุทธ์รับมือภัยไซเบอร์สำหรับภาครัฐ สมาคมนักวิจัย ปท.ไทย
Marketing & Effective Communication 	250FMKT03C00	การใช้ AI สร้างภาพและวิดีโอเพื่อการประชาสัมพันธ์
Good Governance and Corporate Social Responsibility	250LCGG01W00	"การอบรมเชิงปฏิบัติการ การยกระดับการบริหารจัดการผู้มีส่วนได้ส่วนเสีย 
(Stakeholder Management: SM) ตามกรอบ Core Business Enablers ของระบบ SE-AM ของบริษัท โทรคมนาคมแห่งชาติ จำกัด (มหาชน)"
กิจกรรมอื่นๆ	250NSEM01S00	กิจกรรม The Power of Creativity at NT
การบัญชี  การเงิน  ภาษี	255NAFS04C00	Derivatives and its Applications in Thailand
Technology and Digital	255NSEC02C00	รักษาความปลอดภัยทางไซเบอร์สำหรับผู้บริหาร
Broadband	250FDTC01V00	Advanced Broadband Telecommunications Systems
Broadband	250FDTC02V00	Basic Transmission Network Troubleshooting
Human Resource Management /Human Resource Development	250CMGT02V00	โครงการเสริมสร้างศักยภาพและพัฒนาดุลยภาพบุคลากร ประจำปี 2568 (เวียดนามกลาง)
Good Governance and Corporate Social Responsibility	250LHRM01W00	การจัดทำแผนสร้างความสัมพันธ์ผู้มีส่วนได้ส่วนเสียระดับฝ่าย
การตลาด การขาย และประชาสัมพันธ์	255NMKT01C00	สัมมนาด้านการตลาด TMA – Mar Freshing  ในหัวข้อ Retail Revolution in the B2B World
การบริหารและจัดการ	255NHRM01C00	การประเมินผลลัพธ์ทางการเงินของงานบริหารทรัพยากรมนุษย์และการบริหารจัดการองค์กร (Return on Investment : ROI in HR – OD/ESG/CSR-CSV and General Management)
Finance	250FAFS04E00	การจัดซื้อจัดจ้างและการบริหารพัสดุ (E-Learning)
Digital	250FDGT10C00	Agentic AI Bootcamp Days
Broadband	250FDTC04V00	Fundamentals of Network Management
Marketing & Effective Communication 	250LMGT04C00	การสร้างแรงจูงใจในการทำงาน
Marketing & Effective Communication 	250LMGT03C00	พัฒนาตนเอง สร้างสรรค์ผลงาน สู่ความสำเร็จ
Digital	250FSEC03C00	Basic of Cyber Attack and Malware Detection by Generative AI
การบริหารและจัดการ	255NHRM02C00	Trust in The Workplace : Boosting Workforce Engagement (เสริมความแกร่งขององค์กรด้วยความผูกพันของบุคลากร)
Broadband	250FDTC03V00	Introduction to Maintenance Engineering for Telecommunication Operations
การบัญชี  การเงิน  ภาษี	255NTAX03C00	Strategic Investment Risk Management
การบริหารและจัดการ	250NMGT03C00	SOE PRO : Executive Program on SOE Performance and Results Optimization Through Performance Evaluation System
Human Resource Management /Human Resource Development	250CMGT03V00	โครงการเสริมสร้างศักยภาพและพัฒนาดุลยภาพบุคลากร ประจำปี 2568 (กุ้ยหลิน)
Network	250NTRX01C00	ระบบ Tracking จานสายอากาศ Ku Band
Risk, Policy , Law and Compliance	250FSAF04C00	เจ้าหน้าที่ความปลอดภัยในการทำงาน ระดับเทคนิค  
Marketing & Effective Communication 	250FMGT09C00	Business Etiquette: สร้างความประทับใจในทุกการติดต่อ
Digital	250FDES02C00	การออกแบบ UX/UI 
Risk, Policy , Law and Compliance	250FSEC04C00	การอบรมหลักสูตรเจ้าหน้าที่ความปลอดภัยในการทำงาน  ระดับหัวหน้างาน ประจำปี 2568
Human Resource Management /Human Resource Development	250CHRX02W00	การสัมมนาเชิงปฏิบัติการ การสร้างองค์กรไปสู่ High Performance Organization
การบริหารและจัดการ	255NMGT14C00	ผู้นำพัฒนาท้องถิ่นอัจฉริยะ (The Urban Intelligence Leadership Program : UILP#1)
Digital	250FDGT12C00	การใช้งาน Canva เบื้องต้น เพื่อเพิ่มศักยภาพการสื่อสารและการนำเสนอในยุคดิจิทัล
การบริหารและจัดการ	255NMGT13C00	ผู้นำการเปลี่ยนแปลงเพื่อยกระดับองค์กรสู่ยุคปัญญาประดิษฐ์อย่าง มีธรรมาภิบาล (AI CHANGE AGENT PROGRAM : AICA)
Essential Skills & Mindset	250CDES01W00	NT Thriving New Business & Solutions
เตรียมความพร้อมผู้บริหาร	250FHRM01C00	ผู้นำยุคใหม่ สร้างทีมให้ไปได้ไกล 
การบริหารและจัดการ	255NSTO01C00	พระราชบัญญัติการจัดซื้อจัดจ้างและการบริหารงานพัสดุภาครัฐ พ.ศ.2560 พร้อมวิเคราะห์ปัญหาและแนวทางแก้ไข
Marketing & Effective Communication 	250FMKT02C00	กลยุทธ์การกำหนดราคาเพื่อเพิ่มความสามารถในการแข่งขันในตลาด
Risk, Policy , Law and Compliance	250FSAF05C00	เจ้าหน้าที่ความปลอดภัยในการทำงาน ระดับเทคนิคขั้นสูง
Risk, Policy , Law and Compliance	252FMGT01W00	การจัดอบรมเชิงปฏิบัติการ  การบริหารความเสี่ยงและควบคุมภายใน รูปแบบ Top Down
Broadband	250FMKT04V00	NT Products and Services for Non Technique
Digital	250FMGT12C00	Knowledge Capture & PDPA for Knowledge Sharing
Digital	250FDGT07C00	เรียนรู้ Agile & Scrum ด้วยเครื่องมือ Trello และ Jira
Digital	250FDGT11C00	Agentic AI Development using n8n and MCP
Risk, Policy , Law and Compliance	250FMGT11W00	Innovation Roadmap & Metric
Mobile /Wireless	250FSEL04W00	5G Private Network (Workshop)
Risk, Policy , Law and Compliance	250FSAF06C00	หลักสูตร เจ้าหน้าที่ความปลอดภัยระดับบริหาร 
Risk, Policy , Law and Compliance	250FDGT13W00	Innovation for Leader
Essential Skills & Mindset	252FDGT01W00	AI for Leaders & Business Transformation
Digital	250FDES04C00	NT Agentic AI Hackathon Day 2025 
Digital	250FDGT14W00	Pitching Day NT Agentic AI Hackathon 2025
Digital	250FBDA01C00	DataOps
Technology and Digital	255NDGT02C00	ทุนอบรมหลักสูตร  ASEAN Smart City Professional Program (ASPP) SHORT-TERM TRAINING SCHOLARSHIP
Technology and Digital	255NDGT03C00	การเชื่อมต่อช่องว่างดิจิทัลด้วยดาวเทียมที่โคจรอยู่รอบโลกในระยะความสูงที่ค่อนข้างต่ำ เพื่อปลดล็อกอนาคตการเชื่อมต่อ 5G และ IoT
Essential Skills & Mindset	250LMGT07C00	เทคนิคการมอบหมายงานอย่างมีประสิทธิภาพ
Digital	250FDGT06C00	Quantum Technologies and Cybersecurity in the Post-Quantum Era
Digital	250FCOM02S00	เปิดโลก AI เพื่อการทำงานของกลุ่มงานทรัพยากรบุคคล (กบ.)อย่างมั่นใจ ปลอดภัย และมีประสิทธิภาพ
Good Governance and Corporate Social Responsibility	250FDES03W00	สถาปัตยกรรมองค์กร (Enterprise Architecture: EA) ในระดับปฏิบัติการ
Risk, Policy , Law and Compliance	250FSAF08W00	การสอบสวนอุบัติเหตุและอุบัติการณ์โดยการใช้เทคนิคในการวิเคราะห์สาเหตุพื้นฐาน Root Cause Analysis (RCA)
Digital	250FCLD01C00	Cloud Computing
Digital	250FDGT09V00	การสื่อสารข้อมูลและการเล่าเรื่องด้วยข้อมูล
Good Governance and Corporate Social Responsibility	252FMGT02C00	 หลักสูตร สถาปัตยกรรมองค์กร (Enterprise Architecture : EA)  ในระดับสูง (High Level) 
Digital	250FDGT08C00	เรียนรู้ระบบอัตโนมัติ RPA ด้วย n8n
Risk, Policy , Law and Compliance	250FSAF07C00	คณะกรรมการ ความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทำงาน
Risk, Policy , Law and Compliance	250FLAW01C00	กฎหมายและกฎระเบียบ
Digital	250FBDA02C00	Automate Social Listening with n8n
Finance	250FAFS03C00	การวางแผนและบริหารงบประมาณ (Budget Planning and Management)
